"name,value_euro,age,overall_rating"
"S. Vrsaljko,15000000,27,81"
"C. Kramer,17000000,28,81"
"B. Mendy,20000000,24,81"
"M. Sabitzer,22500000,24,81"
"M. Nastasić,18500000,25,81"
"A. Plea,22000000,25,81"
"M. Ginter,18500000,25,81"
"Gerard Moreno,22000000,26,81"
"A. Doucouré,19500000,26,81"
"R. Guerreiro,22500000,25,81"
"Ricardo Pereira,18500000,25,81"
"Samu Castillejo,23000000,24,81"
"J. Brandt,25000000,22,81"
"N. Pépé,22000000,23,80"
"S. Bergwijn,20500000,21,80"
"A. Onana,14500000,22,80"
"F. Balbuena,15500000,27,80"
"André Silva,21000000,23,80"
"Oyarzabal,21000000,21,80"
"Everton Andrão,4500000,35,80"
"Welington Dano,10500000,31,80"
"Richarlison,21000000,21,80"
"Odriozola,18500000,23,80"
"Carlos Soler,21000000,22,80"
"H. Aouar,23500000,20,80"
"T. Ndombele,22500000,22,80"
"M. Gómez,20500000,22,80"
"Joaquín,6000000,37,81"
"J. Mathieu,5500000,35,81"
"J. Matip,15000000,27,80"
"S. Aurier,15500000,26,80"
"J. Guilavogui,14000000,28,80"
"A. Oxlade-Chamberlain,19500000,25,80"
"M. Ryan,13000000,26,80"
"V. Aboubakar,17500000,27,80"
"L. Muriel,17500000,27,80"
"D. Vida,11500000,29,80"
"Ibai Gómez,15000000,29,80"
"Cristian Tello,16000000,27,80"
"Ismaily,11500000,29,80"
"A. Mandi,15500000,27,80"
"C. Tătăruşanu,8500000,33,80"
"J. Murillo,16000000,26,80"
"E. Dier,16500000,25,80"
"J. Butland,14000000,25,80"
"S. Sorrentino,1000000,39,80"
"W. Rooney,12000000,33,80"
"Moyá,6000000,34,80"
"L. López,7000000,36,80"
"J. Mascherano,4500000,34,80"
"Raffael,9500000,33,80"
"Diego López,2000000,37,80"
"Juanfran,5500000,34,80"
"I. Denisov,4500000,34,80"
"I. Akinfeev,8500000,32,80"
"A. Gignac,12000000,33,80"
"A. Granqvist,,33,80"
"Manuel Fernandes,11500000,33,80"
"Dante,4500000,35,80"
"L. Perrin,8500000,33,80"
"Borja Valero,9000000,34,80"
"A. Januzaj,17500000,24,79"
"J. Hector,10000000,28,79"
"M. Dabbur,15500000,26,79"
"Óliver Torres,16500000,24,79"
"Y. Bounou,10500000,27,79"
"J. Hofmann,15000000,26,79"
"Otávio,17500000,24,79"
"Jonny,13500000,25,79"
"L. Dendoncker,14500000,23,79"
"R. Zobnin,15000000,25,79"
"Ricardo Horta,17000000,24,79"
"Thiago Mendes,13500000,26,79"
"J. Lerma,14000000,24,79"
"J. Gbamin,14500000,23,79"
"I. Marcone,11500000,28,79"
"D. Benedetto,13000000,28,79"
"M. Hitz,8000000,31,79"
"N. Clyne,11500000,27,79"
"A. Ljajić,15000000,27,79"
"J. Guðmundsson,13000000,28,79"
"Elkeson,13000000,29,79"
"Kike García,13000000,29,79"
"Escudero,10000000,29,79"
"Herrerín,8000000,31,79"
"Víctor Ruiz,10000000,30,79"
"G. Medel,9500000,31,79"
"Y. Belhanda,12500000,29,79"
"Hugo Mallo,10500000,27,79"
"Borja García,13000000,28,79"
"W. Khazri,13500000,28,79"
"P. Jones,12000000,27,79"
"A. Finnbogason,12500000,30,79"
"Vinícius Júnior,20500000,18,78"
"Junior Firpo,12500000,22,78"
"E. Belözoğlu,4000000,38,79"
"Fernando Torres,6500000,34,79"
"B. Schweinsteiger,5000000,34,79"
"B. Yılmaz,10000000,33,79"
"M. Gómez,10000000,33,79"
"A. Young,7000000,33,79"
"R. Babel,11000000,32,79"
"B. Costil,8000000,31,79"
"S. Kalou,10000000,33,79"
"E. Lavezzi,8000000,33,79"
"H. Ben Arfa,11000000,32,79"
"B. Foster,3000000,35,79"
"T. Heaton,7000000,32,79"
"Charles,6500000,34,79"
"G. Cahill,7000000,33,79"
"A. Iwobi,14000000,22,78"
"R. Loftus-Cheek,14500000,23,78"
"A. Selikhov,9500000,24,78"
"J. Mojica,10500000,26,78"
"W. Barrios,,25,78"
"C. Izquierdoz,8000000,30,78"
"W. Benítez,9500000,26,78"
"N. Maksimović,11000000,27,78"
"A. Mitrović,14000000,24,78"
"M. Sportiello,8500000,26,78"
"Capa,10500000,26,78"
"Marcelo Goiano,7500000,31,78"
"Y. Tielemans,16000000,21,78"
"S. Lobotka,14000000,24,78"
"M. Philipp,14000000,25,78"
"L. Dubois,11000000,24,78"
"L. Dunk,11000000,27,78"
"C. Schindler,10000000,28,78"
"Y. Konoplyanka,10500000,29,78"
"Pedro Mendes,10000000,28,78"
"R. Saponara,11000000,27,78"
"L. Kurzawa,10500000,26,78"
"M. Hinteregger,10500000,26,78"
"D. da Costa,10500000,25,78"
"Fernando,10500000,27,78"
"W. Boly,10000000,28,78"
"A. Schwolow,8500000,26,78"
"G. Defrel,11000000,27,78"
"Álvaro,9500000,29,78"
"L. Bittencourt,13000000,25,78"
"A. Carrillo,11000000,27,78"
"M. Elyounoussi,14000000,24,78"
"O. Karnezis,6000000,33,78"
"De Marcos,8000000,29,78"
"R. Cabella,10500000,29,78"
"J. Hart,6500000,31,78"
"Jurado,8000000,32,78"
"E. Hernández,10000000,30,78"
"D. Ginczek,12000000,27,78"
"Lucas Pérez,10500000,30,78"
"J. Farfán,6500000,34,78"
"A. Begović,6500000,31,78"
"Hilton,,41,78"
"J. Baumgartlinger,7500000,31,78"
"Granero,9500000,31,78"
"Z. Junuzović,9500000,31,78"
"V. Moses,11000000,28,78"
"M. Debuchy,5500000,33,78"
"G. Maripán,10000000,24,77"
"Iván Cuéllar,3600000,34,77"
"F. Johnson,8500000,31,77"
"Aarón Martín,10500000,21,77"
"G. Pereiro,12000000,23,77"
"B. Moukandjo,9000000,30,77"
"M. Harnik,8000000,31,77"
"J. Ward-Prowse,12000000,24,77"
"R. Alessandrini,10000000,29,78"
"Manu García,6000000,32,78"
"M. Antonio,10500000,28,78"
"Adrien Silva,10000000,29,78"
"S. Cook,8500000,27,78"
"B. Mee,8500000,29,78"
"Adriano,4000000,34,78"
"J. Lens,10000000,31,78"
"S. Rondón,9000000,29,77"
"Andreas Pereira,11500000,23,77"
"V. Ibišević,5500000,34,77"
"L. Ocampos,12000000,24,77"
"N. Müller,8500000,31,77"
"Simão Acunha,8500000,31,77"
"J. Calleri,12000000,25,77"
"A. Jahanbakhsh,11500000,25,77"
"A. Prijović,9000000,28,77"
"Fabricio,5500000,31,77"
"M. Elneny,9000000,26,77"
"Jorge Meré,11500000,21,77"
"Wilson Eduardo,9500000,28,77"
"Álex Remiro,8500000,23,77"
"T. Gutiérrez,5500000,33,77"
"A. Pyatov,3600000,34,77"
"Diego Llorente,10500000,25,77"
"I. Abate,6000000,32,77"
"T. Vermaelen,5000000,33,77"
"N. Füllkrug,10500000,26,77"
"Pedro Obiang,9000000,26,77"
"Wallace,10000000,24,77"
"Djaniny,10500000,27,77"
"Roberto,5000000,33,77"
"S. Tasci,6000000,31,77"
"L. Schøne,6500000,32,77"
"J. Defoe,4100000,36,77"
"V. Babacan,7000000,30,77"
"O. Ighalo,9000000,29,77"
"A. Schürrle,9500000,28,77"
"E. Skhiri,10000000,23,77"
"W. Anton,11000000,22,77"
"R. Palacio,3200000,37,77"
"K. Lasagna,11500000,26,77"
"D. Cvitanich,4700000,34,77"
"S. De Maio,6000000,32,77"
"S. Terodde,8500000,31,77"
"J. De Guzmán,8000000,31,77"
"R. Civelli,2700000,35,77"
"Pablo Maffeo,10500000,21,77"
"Cédric,8500000,27,77"
"K. Papadopoulos,9000000,27,77"
"A. Szymanowski,8500000,30,77"
"J. Kucka,7500000,32,77"
"P. Jagielka,2100000,36,77"
"M. Benassi,11500000,24,77"
"P. Jansson,8500000,28,77"
"B. Espinosa,7000000,29,77"
"José Sá,8500000,26,77"
"M. Sels,7500000,27,77"
"Yuri Berchiche,7000000,29,77"
"R. Borré,12500000,23,77"
"Paulinho,11000000,26,77"
"C. Piccini,9000000,26,77"
"B. André,9000000,28,77"
"Barragán,6000000,31,77"
"M. Samatta,11500000,26,77"
"I. Diop,12000000,22,77"
"M. Lowton,6500000,29,77"
"T. Hernández,11000000,21,77"
"Juanpe,8500000,27,77"
"K. Tete,10000000,23,77"
"B. Džemaili,6500000,32,77"
"André André,9000000,29,77"
"Balenziaga,5500000,31,76"
"V. Behrami,3100000,33,76"
"D. Reyes,8000000,26,76"
"Caiuby,7500000,30,76"
"S. Doumbia,7500000,31,76"
"João Félix,14000000,19,76"
"L. López,6000000,29,76"
"Mario Suárez,6500000,32,76"
"J. Lössl,6000000,30,76"
"G. Castro,6500000,31,76"
"M. Phillips,8000000,27,76"
"Gabriel Boschilia,10500000,23,76"
"Wu Lei,9000000,27,76"
"N. Blandi,8000000,29,76"
"L. Kalinić,6500000,28,76"
"F. Fernández,6000000,30,76"
"J. Martínez,7000000,32,76"
"Emerson,9000000,24,76"
"Rômulo,6500000,31,76"
"C. Benteke,8000000,28,76"
"M. Rashica,11000000,22,76"
"L. Baines,3000000,34,76"
"M. Noble,6500000,31,76"
"F. Benković,10500000,21,76"
"C. Riveros,,36,76"
"M. Niang,10500000,24,76"
"D. Santon,6500000,28,76"
"I. Ordets,8500000,26,76"
"Francisco Geraldes,10500000,23,76"
"R. Snodgrass,7500000,31,76"
"Vitor Hugo,7500000,27,76"
"M. Pašalić,10500000,24,76"
"F. Borini,8000000,27,76"
"N. Vukčević,8000000,27,76"
"A. Hutchinson,1800000,36,76"
"M. Moralez,7000000,32,76"
"C. Austin,8000000,29,76"
"Kenedy,11500000,23,76"
"Eltildo Correia,6500000,27,76"
"João Pedro,9000000,26,76"
"A. Diamanti,3400000,35,76"
"Guilherme,7500000,27,76"
"J. Morel,2300000,34,76"
"Llorente,4800000,34,76"
"G. Gönül,3000000,34,76"
"A. Paloschi,8000000,29,76"
"Juli Freitinho,5500000,31,76"
"Markel Bergara,4400000,32,76"
"L. Nguyen,7000000,32,76"
"A. Knockaert,8500000,27,76"
"Córdoba,11000000,21,76"
"J. Veltman,7500000,27,76"
"N. Sansone,9000000,27,76"
"A. Turan,6500000,32,76"
"H. Seferović,9000000,27,76"
"Rafael Cachoira,5500000,31,76"
"A. Haidara,11500000,21,76"
"F. Caputo,7500000,31,76"
"M. Locatelli,10000000,21,76"
"J. Ayew,8500000,27,76"
"T. Jedvaj,9500000,23,76"
"S. Hanni,8000000,28,76"
"Andrés Fernández,4700000,32,76"
"T. Monconduit,7500000,28,76"
"N. Mukiele,10000000,21,76"
"D. Heintz,8000000,25,76"
"Júnior Caiçara,6000000,29,76"
"A. Lennon,7000000,31,76"
"J. Willems,8000000,24,76"
"M. Veljković,9500000,23,76"
"I. Belfodil,9000000,27,76"
"Miguel Lopes,5000000,32,76"
"D. Stephens,7500000,29,76"
"Brais Méndez,12000000,22,76"
"A. Smith,7000000,27,76"
"Recio,7500000,28,76"
"Kiko Femenía,6500000,28,76"
"M. Gaćinović,10500000,24,76"
"P. Skjelbred,5000000,31,76"
"Fernandinho,9500000,25,76"
"S. Brown,3100000,33,76"
"M. Grujić,11000000,22,76"
"A. Soumaoro,8500000,26,76"
"Raúl Navas,5500000,30,76"
"A. Szalai,7500000,31,76"
"A. Diawara,11500000,21,76"
"L. Skorupski,6500000,27,76"
"R. Hamouma,7000000,31,76"
"K. Stöger,10000000,25,76"
"K. Linetty,10500000,24,76"
"S. Bell,7500000,27,76"
"A. N'Diaye,7000000,29,76"
"Y. Yazıcı,11000000,22,76"
"B. Oczipka,6000000,30,76"
"F. Valverde,13000000,20,76"
"M. Benítez,10000000,24,76"
"M. Vorm,3100000,35,76"
"N. Mendy,7500000,26,76"
"J. Vázquez,5500000,30,76"
"Unai Núñez,8500000,22,75"
"N. Radoja,8000000,26,75"
"K. Gibbs,5500000,29,75"
"A. Hamdallah,7000000,28,75"
"Pablo Santos,7000000,26,75"
"S. Fofana,9000000,23,75"
"Felipe,2700000,34,75"
"C. Villanueva,6000000,33,76"
"Mossoró,3900000,35,76"
"Diego Rico,7500000,26,76"
"Alberto Moreno,7500000,26,76"
"J. Clasie,8500000,27,76"
"R. Funes Mori,9000000,28,76"
"O. Alonso,4400000,33,76"
"A. Djiku,9000000,24,76"
"J. Hogg,6000000,30,76"
"D. Calvert-Lewin,9500000,21,75"
"M. Zeegelaar,5500000,28,75"
"G. Carrillo,8000000,27,75"
"Jozabed,7500000,28,75"
"A. Franco,9500000,22,75"
"D. Brooks,11500000,21,75"
"J. Bruma,7000000,27,75"
"L. Sepe,5500000,27,75"
"S. Vokes,7000000,29,75"
"Javi López,3700000,33,75"
"J. Amavi,7500000,24,75"
"Idris,2700000,34,75"
"A. Potuk,7500000,27,75"
"O. Norwood,7000000,27,75"
"R. Khedira,7000000,25,75"
"D. Machís,8000000,26,75"
"R. Quaison,8500000,25,75"
"P. Dummett,6500000,27,75"
"L. Dimata,10000000,21,75"
"Allan Bardinho,7000000,27,75"
"L. Butelle,1600000,35,75"
"S. Cristóforo,7500000,25,75"
"Jason,9000000,24,75"
"M. Agu,7000000,25,75"
"E. Badu,7000000,28,75"
"N. Redmond,8500000,25,75"
"Sandro,5000000,29,75"
"A. Mounier,6500000,31,75"
"Matheus Pereira,9000000,22,75"
"C. Jallet,1900000,35,75"
"Diego Castro,2900000,36,75"
"S. Okazaki,5000000,32,75"
"O. Kamara,7000000,29,75"
"Xeka,8000000,24,75"
"R. Karsdorp,7500000,24,75"
"Marafona,4000000,31,75"
"D. Valdés,8500000,25,75"
"M. Gonalons,5000000,29,75"
"Burgui,8500000,25,75"
"F. Guarín,3800000,32,75"
"M. Jensen,9000000,23,75"
"R. Thomas,9000000,24,75"
"B. Butko,5500000,28,75"
"L. Cigarini,5000000,32,75"
"A. Musa,8000000,26,75"
"M. Morozyuk,4800000,31,75"
"G. Schennikov,6000000,27,75"
"André Ramalho,6500000,27,75"
"T. Foket,7500000,24,75"
"P. Foden,13500000,18,75"
"Walace,8000000,23,75"
"I. Kahveci,9000000,23,75"
"J. Briand,5500000,33,75"
"D. Rolán,8500000,25,75"
"C. Théréau,2900000,35,75"
"B. Valdez,7000000,26,75"
"M. Konaté,8500000,25,75"
"H. Ayala,4500000,31,75"
"J. Kluivert,11000000,19,75"
"P. Tau,,24,75"
"Eraso,6500000,28,75"
"A. Boruc,450000,39,75"
"S. Larsson,8000000,25,75"
"Paulinho,9000000,24,75"
"J. Urretaviscaya,6500000,28,75"
"Y. Aït Bennasser,10000000,22,75"
"P. Bernardoni,8000000,21,75"
"J. Brenet,6500000,24,75"
"Aleñá,12000000,21,75"
"Thiago Maia,8000000,21,75"
"R. Skov,10000000,22,75"
"M. Isla,4800000,30,75"
"W. McKennie,10500000,20,75"
"J. Tavernier,6500000,27,75"
"S. Kalu,11500000,21,75"
"Marlon,8000000,23,75"
"A. Duncan,8500000,25,75"
"S. Sturaro,8000000,25,75"
"H. Arter,6500000,29,75"
"V. Buyalskyi,8000000,26,75"
"M. Sarr,8500000,20,75"
"I. Fernández,6500000,29,75"
"H. Hateboer,8000000,25,75"
"F. Niederlechner,7000000,28,75"
"P. Schwegler,4500000,32,75"
"B. Pearson,8000000,24,75"
"T. Abraham,11000000,21,75"
"Jefferson,5000000,30,75"
"J. Mæhle,9000000,21,75"
"Unai López,9000000,23,75"
"I. Amadou,7500000,25,75"
"C. Günter,6500000,26,75"
"O. Onazi,7000000,26,75"
"J. Montero,6500000,29,75"
"O. Murillo,4900000,30,75"
"Borja Bastón,8500000,26,75"
"L. Zelarayán,8000000,26,75"
"M. Kelly,6000000,28,75"
"A. Umar,9000000,24,75"
"Zaldúa,7000000,26,75"
"M. Diagne,8000000,27,75"
"Jovane Cabral,11000000,20,75"
"S. Dann,4500000,32,75"
"M. Pavlović,5500000,28,75"
"A. Surman,5500000,32,75"
"F. Kainz,8000000,26,75"
"Fran Beltrán,8000000,20,75"
"K. Vermeer,3800000,33,75"
"Fontàs,6000000,29,75"
"L. Quiñones,7000000,27,75"
"M. Leckie,7000000,28,75"
"Tchê Tchê,8000000,26,75"
"S. March,7500000,24,74"
"B. Dabo,6500000,27,74"
"F. Midtsjø,7000000,25,74"
"Arribas,4400000,29,74"
"Duirval Diniz,1700000,35,74"
"O. Watkins,8000000,23,74"
"R. Tapia,6500000,23,74"
"E. Roco,6000000,26,74"
"J. Svensson,6000000,26,74"
"L. Orbán,4400000,30,74"
"G. Donsah,9000000,22,75"
"L. Krejčí,7000000,26,75"
"S. Sinclair,6500000,29,75"
"B. Jokič,,32,75"
"M. Thuram,10000000,21,75"
"S. Romero,6500000,30,75"
"C. Atsu,6000000,27,74"
"C. Träsch,4200000,31,74"
"F. Pogba,4700000,28,74"
"Reguilón,8500000,22,74"
"Caio Milaçar,2800000,35,74"
"M. Kempf,6500000,24,74"
"Daniel Ayala,5500000,28,74"
"P. Roberts,8500000,22,74"
"G. Ortíz,6500000,26,74"
"R. Gikiewicz,3600000,31,74"
"R. Rey,4700000,28,74"
"Y. Öztekin,4900000,31,74"
"Daniel Candeias,5500000,31,74"
"C. Beauvue,5500000,30,74"
"Marcelo,4600000,29,74"
"S. von Bergen,1300000,35,74"
"J. Obi,6500000,27,74"
"Rafael Leão,10000000,19,74"
"Pedro Henrique,5500000,28,74"
"Raúl Fernández,3600000,30,74"
"Y. Nagatomo,3700000,32,74"
"P. Hrošovský,7000000,26,74"
"R. Berić,6500000,27,74"
"N. Spolli,1300000,36,74"
"L. Moore,6000000,26,74"
"D. Falcinelli,6500000,27,74"
"J. Babin,3800000,32,74"
"J. Kopic,5500000,28,74"
"M. Besler,3800000,32,74"
"P. Martinez,4400000,30,74"
"Renan Bressan,5500000,30,74"
"O. Şahan,4900000,31,74"
"M. Rensing,2300000,34,74"
"K. Phillips,6500000,23,74"
"W. Janssen,3800000,32,74"
"E. Mena,4300000,30,74"
"A. Ciciretti,7000000,25,74"
"Davidson,6000000,28,74"
"Diogo Leite,8000000,20,74"
"A. Raggi,1700000,34,74"
"S. Grandsir,9500000,22,74"
"D. Kreilach,5500000,29,74"
"A. Ruiz,7500000,25,74"
"Iñigo Pérez,4200000,31,74"
"L. Sané,3800000,31,74"
"Ivo,4800000,32,74"
"Gil Dias,7500000,22,74"
"A. Mena,5500000,31,74"
"J. Córdoba,7500000,25,74"
"B. Ecuélé Manga,4400000,30,74"
"N. Murru,6500000,24,74"
"G. Shinnie,5500000,27,74"
"J. Stryger Larsen,4600000,28,74"
"A. Erokhin,,29,74"
"L. Robles,2300000,34,74"
"A. Ulmer,3100000,33,74"
"F. Castillo,6500000,26,74"
"I. Nestorovski,6000000,28,74"
"M. Mount,10000000,20,74"
"O. Kayode,7500000,25,74"
"Jadson Vidigal,6000000,27,74"
"P. Verhaegh,1600000,35,74"
"L. Cavallini,7000000,26,74"
"J. Geis,6000000,25,74"
"R. van Wolfswinkel,5500000,30,74"
"K. Adams Nuhu,7000000,23,74"
"Kévin Rodrigues,6500000,25,74"
"Ramalho,6000000,25,74"
"A. Semenov,,29,74"
"G. Charbonnier,5500000,30,74"
"Luisinho,2200000,33,74"
"E. Pieters,4300000,30,74"
"H. Wolf,9500000,19,74"
"J. Aidoo,7000000,23,74"
"Nicolás Formido,5500000,31,74"
"D. Kourmpelis,6500000,25,74"
"J. Vuković,4200000,30,74"
"J. Beausejour,1600000,34,74"
"M. Ostrzolek,4400000,28,74"
"J. Błaszczykowski,4400000,33,74"
"D. Bouanga,7500000,24,74"
"R. Botta,5500000,29,74"
"D. Lazović,6000000,28,74"
"L. Marković,7000000,25,74"
"Fábio Espinho,4400000,33,74"
"Ruben Lima,4400000,29,74"
"T. Usami,6500000,26,74"
"E. Room,4400000,30,74"
"K. Konaté,,27,74"
"Rubén Alcaraz,6500000,27,74"
"A. Nyom,4100000,30,74"
"Yuri Ribeiro,6500000,22,74"
"M. Ekici,5500000,28,74"
"I. Sosa,4900000,32,74"
"L. Melgarejo,6000000,28,74"
"William,6500000,27,74"
"M. Vydra,7000000,26,74"
"Bebé,6000000,28,74"
"Adrián González,4200000,30,74"
"C. Söyüncü,7000000,22,74"
"K. Iheanacho,8500000,22,74"
"M. Tisserand,6500000,26,74"
"A. Lozano,7500000,25,74"
"L. Waldschmidt,7500000,22,74"
"Adrianiscito,4000000,27,74"
"S. Grytebust,4500000,29,74"
"I. Strinić,4100000,31,74"
"Pedro Rebocho,6500000,24,74"
"J. Mbakogu,7000000,26,74"
"Dória,6000000,24,74"
"M. Çağıran,6000000,26,74"
"K. Kamara,3500000,34,74"
"S. Bahoken,7000000,26,74"
"B. Gibson,6500000,26,74"
"Nacho,4300000,30,74"
"A. Cornelius,7500000,25,74"
"M. Le Marchand,4600000,29,74"
"P. Diop,9500000,21,74"
"S. Özbayraklı,4400000,29,74"
"S. Davis,3300000,34,74"
"A. Baba,6000000,24,74"
"E. Zukanović,3800000,32,74"
"O. Niasse,6000000,28,74"
"P. Mpoku,6000000,26,74"
"K. McDonald,4400000,30,74"
"Jesus Andradaldo,4800000,27,74"
"S. Dzhanaev,3400000,31,74"
"M. Degenek,7000000,24,74"
"A. Tameze,7000000,25,74"
"Tiago Silva,7000000,25,74"
"E. Bauthéac,5500000,31,74"
"Y. Ravet,5500000,29,74"
"D. Tošić,2300000,34,74"
"D. Padelli,3200000,33,74"
"B. Mensah,8000000,24,74"
"J. Biabiany,5500000,30,74"
"I. Iličević,4900000,32,74"
"H. Barnes,9000000,21,74"
"C. Awaziem,7000000,22,74"
"Luna,5000000,27,74"
"A. Chedjou,2300000,33,74"
"Djavan,4100000,31,74"
"A. Rebrov,2300000,35,74"
"G. Margreitter,4400000,30,74"
"Salvi Sánchez,4200000,27,73"
"Pietrson Mendes,2000000,35,73"
"M. Russ,2300000,33,73"
"H. Van Crombrugge,3700000,25,73"
"A. Barrada,3900000,29,73"
"K. Nakamura,1300000,38,73"
"A. Clayton,3100000,30,73"
"T. Leibold,4200000,25,73"
"V. Karavaev,4300000,23,73"
"I. Fossum,5500000,22,73"
"D. Bessa,4800000,26,73"
"N. Acevedo,3800000,30,73"
"S. Rybalka,3600000,28,73"
"G. Di Lorenzo,4500000,25,73"
"H. Diallo,6000000,23,73"
"B. Fernández,5000000,24,73"
"J. Basanta,1200000,34,73"
"S. Thioub,5500000,23,73"
"C. Adams,5500000,22,73"
"Jota,4200000,27,73"
"E. Crivelli,5500000,24,73"
"Etxeita,3000000,31,73"
"D. Ciofani,3200000,33,73"
"M. Urruti,4300000,28,73"
"Gerso,4200000,28,73"
"J. Šural,4100000,28,73"
"B. Celina,6000000,22,73"
"S. Al Faraj,4000000,29,73"
"L. Majer,7000000,21,73"
"J. St. Juste,4500000,22,73"
"M. Bolaños,4000000,28,73"
"R. Krishna,3900000,31,73"
"E. Goldaniga,4000000,25,73"
"Suk Hyun Jun,4700000,27,73"
"Míchel,3800000,30,73"
"Álex Gallar,4700000,26,73"
"Insua,4400000,25,73"
"Ignasi Miquel,4300000,26,73"
"L. Bustamante,3100000,33,73"
"E. Schelotto,3000000,29,73"
"Paulinho,3400000,27,73"
"F. Hübner,3900000,28,73"
"Castro,3800000,30,73"
"R. Aliendro,3800000,28,73"
"M. Kanazaki,4000000,30,73"
"S. Sunzu,3500000,29,73"
"Y. Sanogo,5000000,26,73"
"T. Minamino,5500000,24,73"
"S. Dioudis,3500000,26,73"
"J. Al Hussien,1800000,36,73"
"Raul García,3000000,29,73"
"S. Bertoli,270000,41,73"
"J. Gélin,5500000,21,73"
"J. Mišić,5500000,24,73"
"Fabiano,2600000,31,73"
"O. Mangala,7000000,20,73"
"J. Toljan,4300000,24,73"
"J. Gandolfi,550000,38,73"
"J. Lewis,2600000,31,73"
"J. Bořil,3300000,28,73"
"S. Clucas,4100000,28,73"
"A. Grünwald,3900000,29,73"
"J. Poulsen,1900000,35,73"
"C. Montes,5000000,22,73"
"R. Meggiorini,3200000,33,73"
"N. Bungert,2700000,32,73"
"C. Kouamé,9000000,21,73"
"F. Meza,4200000,27,73"
"A. Henríquez,5000000,24,73"
"Nélson Oliveira,4400000,27,73"
"E. Terranova,2700000,32,73"
"R. Emond,4800000,27,73"
"G. Hooper,3900000,31,73"
"L. Freeman,4700000,26,73"
"Miguel Vieira,3800000,28,73"
"A. Rispoli,3000000,30,73"
"N. Navarro,2000000,33,73"
"A. Barboza,4500000,23,73"
"A. Maxim,4200000,28,73"
"O. John,4700000,26,73"
"A. Smithies,3300000,29,73"
